fold,Source,TP,FN,TN,FP,TPR_sens,TNR_spec,FNR,FPR
1,AWS,35,4,11,12,0.8974358974358975,0.4782608695652174,0.10256410256410253,0.5217391304347826
1,AssemblyAI,33,6,11,12,0.8461538461538461,0.4782608695652174,0.15384615384615385,0.5217391304347826
1,CrisperWhisper,35,4,11,12,0.8974358974358975,0.4782608695652174,0.10256410256410253,0.5217391304347826
1,Google,37,2,12,11,0.9487179487179487,0.5217391304347826,0.05128205128205132,0.4782608695652174
1,Human,34,5,11,12,0.8717948717948718,0.4782608695652174,0.1282051282051282,0.5217391304347826
1,Meta,33,6,11,12,0.8461538461538461,0.4782608695652174,0.15384615384615385,0.5217391304347826
1,Microsoft,35,4,12,11,0.8974358974358975,0.5217391304347826,0.10256410256410253,0.4782608695652174
1,Nemo,34,5,12,11,0.8717948717948718,0.5217391304347826,0.1282051282051282,0.4782608695652174
1,Whisper,34,5,14,9,0.8717948717948718,0.6086956521739131,0.1282051282051282,0.3913043478260869
2,AWS,37,2,11,11,0.9487179487179487,0.5,0.05128205128205132,0.5
2,AssemblyAI,36,3,12,10,0.9230769230769231,0.5454545454545454,0.07692307692307687,0.4545454545454546
2,CrisperWhisper,37,2,11,11,0.9487179487179487,0.5,0.05128205128205132,0.5
2,Google,39,0,10,12,1.0,0.45454545454545453,0.0,0.5454545454545454
2,Human,38,1,12,10,0.9743589743589743,0.5454545454545454,0.02564102564102566,0.4545454545454546
2,Meta,35,4,13,9,0.8974358974358975,0.5909090909090909,0.10256410256410253,0.40909090909090906
2,Microsoft,35,4,13,9,0.8974358974358975,0.5909090909090909,0.10256410256410253,0.40909090909090906
2,Nemo,37,2,12,10,0.9487179487179487,0.5454545454545454,0.05128205128205132,0.4545454545454546
2,Whisper,35,4,14,8,0.8974358974358975,0.6363636363636364,0.10256410256410253,0.36363636363636365
3,AWS,36,2,11,12,0.9473684210526315,0.4782608695652174,0.052631578947368474,0.5217391304347826
3,AssemblyAI,35,3,12,11,0.9210526315789473,0.5217391304347826,0.07894736842105265,0.4782608695652174
3,CrisperWhisper,36,2,10,13,0.9473684210526315,0.43478260869565216,0.052631578947368474,0.5652173913043479
3,Google,36,2,9,14,0.9473684210526315,0.391304347826087,0.052631578947368474,0.6086956521739131
3,Human,36,2,10,13,0.9473684210526315,0.43478260869565216,0.052631578947368474,0.5652173913043479
3,Meta,31,7,12,11,0.8157894736842105,0.5217391304347826,0.1842105263157895,0.4782608695652174
3,Microsoft,35,3,10,13,0.9210526315789473,0.43478260869565216,0.07894736842105265,0.5652173913043479
3,Nemo,35,3,11,12,0.9210526315789473,0.4782608695652174,0.07894736842105265,0.5217391304347826
3,Whisper,34,4,13,10,0.8947368421052632,0.5652173913043478,0.10526315789473684,0.4347826086956522
4,AWS,37,2,9,13,0.9487179487179487,0.4090909090909091,0.05128205128205132,0.5909090909090908
4,AssemblyAI,37,2,10,12,0.9487179487179487,0.45454545454545453,0.05128205128205132,0.5454545454545454
4,CrisperWhisper,36,3,8,14,0.9230769230769231,0.36363636363636365,0.07692307692307687,0.6363636363636364
4,Google,38,1,8,14,0.9743589743589743,0.36363636363636365,0.02564102564102566,0.6363636363636364
4,Human,39,0,9,13,1.0,0.4090909090909091,0.0,0.5909090909090908
4,Meta,33,6,11,11,0.8461538461538461,0.5,0.15384615384615385,0.5
4,Microsoft,33,6,10,12,0.8461538461538461,0.45454545454545453,0.15384615384615385,0.5454545454545454
4,Nemo,34,5,10,12,0.8717948717948718,0.45454545454545453,0.1282051282051282,0.5454545454545454
4,Whisper,36,3,12,10,0.9230769230769231,0.5454545454545454,0.07692307692307687,0.4545454545454546
5,AWS,38,0,11,12,1.0,0.4782608695652174,0.0,0.5217391304347826
5,AssemblyAI,36,2,12,11,0.9473684210526315,0.5217391304347826,0.052631578947368474,0.4782608695652174
5,CrisperWhisper,38,0,13,10,1.0,0.5652173913043478,0.0,0.4347826086956522
5,Google,37,1,10,13,0.9736842105263158,0.43478260869565216,0.02631578947368418,0.5652173913043479
5,Human,38,0,13,10,1.0,0.5652173913043478,0.0,0.4347826086956522
5,Meta,35,3,14,9,0.9210526315789473,0.6086956521739131,0.07894736842105265,0.3913043478260869
5,Microsoft,36,2,12,11,0.9473684210526315,0.5217391304347826,0.052631578947368474,0.4782608695652174
5,Nemo,38,0,13,10,1.0,0.5652173913043478,0.0,0.4347826086956522
5,Whisper,34,4,14,9,0.8947368421052632,0.6086956521739131,0.10526315789473684,0.3913043478260869
