Subgroup_type,Subgroup_value,ASR_Model,Biomarker,Human_effect,ASR_effect,Deviation,CI_low,CI_high,p_val,n_DEM,n_OLD,p_FDR
Task,MONO,AWS,ttr,-0.0655,-0.0442,0.0213,0.0093,0.0332,0.0005,156,55,0.0027
Task,MONO,AWS,pronoun_ratio,0.0078,0.0146,0.0069,0.0003,0.0134,0.0391,156,55,0.0894
Task,MONO,AWS,content_ratio,0.0313,0.0207,-0.0106,-0.017,-0.0042,0.0014,156,55,0.0056
Task,MONO,AWS,mean_word_len,-0.2392,-0.2545,-0.0153,-0.0536,0.023,0.4308,156,55,0.5514
Task,MONO,AssemblyAI,ttr,-0.0655,-0.0384,0.0271,0.0142,0.0401,0.0001,156,55,0.0008
Task,MONO,AssemblyAI,pronoun_ratio,0.0078,0.0041,-0.0036,-0.0089,0.0017,0.1768,156,55,0.292
Task,MONO,AssemblyAI,content_ratio,0.0313,0.0264,-0.0049,-0.0116,0.0017,0.1451,156,55,0.2731
Task,MONO,AssemblyAI,mean_word_len,-0.2392,-0.1512,0.088,0.0435,0.1324,0.0001,156,55,0.0008
Task,MONO,CrisperWhisper,ttr,-0.0655,-0.0799,-0.0144,-0.0315,0.0027,0.0988,156,55,0.1976
Task,MONO,CrisperWhisper,pronoun_ratio,0.0078,0.0063,-0.0015,-0.0074,0.0044,0.6193,156,55,0.7223
Task,MONO,CrisperWhisper,content_ratio,0.0313,0.0279,-0.0034,-0.0111,0.0043,0.3867,156,55,0.5187
Task,MONO,CrisperWhisper,mean_word_len,-0.2392,-0.2706,-0.0314,-0.0776,0.0149,0.1825,156,55,0.292
Task,MONO,Google,ttr,-0.0655,-0.0619,0.0036,-0.0129,0.0201,0.6693,156,55,0.7223
Task,MONO,Google,pronoun_ratio,0.0078,0.0097,0.0019,-0.0072,0.0111,0.6772,156,55,0.7223
Task,MONO,Google,content_ratio,0.0313,0.0211,-0.0102,-0.0187,-0.0017,0.0193,156,55,0.0475
Task,MONO,Google,mean_word_len,-0.2392,-0.2888,-0.0496,-0.1037,0.0045,0.0719,156,55,0.1534
Task,MONO,Meta,ttr,-0.0655,0.0088,0.0743,0.0524,0.0962,0.0,156,55,0.0
Task,MONO,Meta,pronoun_ratio,0.0078,-0.0045,-0.0123,-0.0198,-0.0048,0.0014,156,55,0.0056
Task,MONO,Meta,content_ratio,0.0313,0.0244,-0.0069,-0.0168,0.003,0.1688,156,55,0.292
Task,MONO,Meta,mean_word_len,-0.2392,-0.207,0.0322,-0.0304,0.0948,0.3123,156,55,0.4543
Task,MONO,Microsoft,ttr,-0.0655,-0.065,0.0005,-0.0277,0.0287,0.9713,156,55,0.9713
Task,MONO,Microsoft,pronoun_ratio,0.0078,0.0084,0.0006,-0.0086,0.0098,0.898,156,55,0.927
Task,MONO,Microsoft,content_ratio,0.0313,0.0107,-0.0206,-0.0358,-0.0054,0.008,156,55,0.0233
Task,MONO,Microsoft,mean_word_len,-0.2392,-0.2238,0.0154,-0.055,0.0857,0.6671,156,55,0.7223
Task,MONO,Nemo,ttr,-0.0655,-0.0476,0.0179,0.0045,0.0314,0.0093,156,55,0.0248
Task,MONO,Nemo,pronoun_ratio,0.0078,0.0092,0.0014,-0.0036,0.0064,0.5781,156,55,0.7115
Task,MONO,Nemo,content_ratio,0.0313,0.0211,-0.0102,-0.0176,-0.0028,0.007,156,55,0.0224
Task,MONO,Nemo,mean_word_len,-0.2392,-0.2216,0.0176,-0.0226,0.0578,0.389,156,55,0.5187
Task,MONO,Whisper,ttr,-0.0655,-0.0396,0.026,0.0118,0.0401,0.0004,156,55,0.0026
Task,MONO,Whisper,pronoun_ratio,0.0078,0.0119,0.0041,-0.003,0.0112,0.258,156,55,0.3931
Task,MONO,Whisper,content_ratio,0.0313,0.0193,-0.012,-0.02,-0.004,0.0035,156,55,0.0124
Task,MONO,Whisper,mean_word_len,-0.2392,-0.1252,0.114,0.0663,0.1616,0.0,156,55,0.0
Task,PICT,AWS,ttr,-0.0908,-0.0779,0.0129,-0.0065,0.0323,0.1864,37,58,0.3682
Task,PICT,AWS,pronoun_ratio,0.0162,0.0232,0.0071,-0.0002,0.0144,0.0561,37,58,0.293
Task,PICT,AWS,content_ratio,0.0739,0.0635,-0.0104,-0.0251,0.0043,0.1604,37,58,0.3422
Task,PICT,AWS,mean_word_len,-0.1918,-0.2013,-0.0095,-0.0656,0.0465,0.7344,37,58,0.9039
Task,PICT,AssemblyAI,ttr,-0.0908,-0.0642,0.0266,-0.0038,0.0571,0.0845,37,58,0.3004
Task,PICT,AssemblyAI,pronoun_ratio,0.0162,0.0192,0.0031,-0.0055,0.0117,0.4769,37,58,0.6104
Task,PICT,AssemblyAI,content_ratio,0.0739,0.0649,-0.0091,-0.0245,0.0064,0.2433,37,58,0.4325
Task,PICT,AssemblyAI,mean_word_len,-0.1918,-0.153,0.0387,-0.0121,0.0896,0.1324,37,58,0.3353
Task,PICT,CrisperWhisper,ttr,-0.0908,-0.1017,-0.0109,-0.0308,0.009,0.274,37,58,0.4615
Task,PICT,CrisperWhisper,pronoun_ratio,0.0162,0.0159,-0.0002,-0.0059,0.0055,0.9423,37,58,0.9727
Task,PICT,CrisperWhisper,content_ratio,0.0739,0.0645,-0.0094,-0.0195,0.0006,0.0641,37,58,0.293
Task,PICT,CrisperWhisper,mean_word_len,-0.1918,-0.2445,-0.0527,-0.1117,0.0063,0.0788,37,58,0.3004
Task,PICT,Google,ttr,-0.0908,-0.0667,0.024,0.0039,0.0442,0.0203,37,58,0.2024
Task,PICT,Google,pronoun_ratio,0.0162,0.0246,0.0085,-0.0031,0.02,0.1467,37,58,0.3353
Task,PICT,Google,content_ratio,0.0739,0.0675,-0.0065,-0.0232,0.0103,0.4431,37,58,0.6104
Task,PICT,Google,mean_word_len,-0.1918,-0.1693,0.0225,-0.0381,0.0831,0.4618,37,58,0.6104
Task,PICT,Meta,ttr,-0.0908,-0.0192,0.0715,0.0291,0.114,0.0015,37,58,0.048
Task,PICT,Meta,pronoun_ratio,0.0162,0.0156,-0.0005,-0.0092,0.0081,0.8996,37,58,0.9727
Task,PICT,Meta,content_ratio,0.0739,0.0741,0.0002,-0.0147,0.015,0.9809,37,58,0.9809
Task,PICT,Meta,mean_word_len,-0.1918,-0.1825,0.0093,-0.0933,0.1118,0.8567,37,58,0.9727
Task,PICT,Microsoft,ttr,-0.0908,-0.0932,-0.0024,-0.0549,0.0502,0.9275,37,58,0.9727
Task,PICT,Microsoft,pronoun_ratio,0.0162,0.0118,-0.0044,-0.0149,0.0061,0.4046,37,58,0.5885
Task,PICT,Microsoft,content_ratio,0.0739,0.0282,-0.0457,-0.0854,-0.006,0.0253,37,58,0.2024
Task,PICT,Microsoft,mean_word_len,-0.1918,-0.1985,-0.0067,-0.1164,0.103,0.9022,37,58,0.9727
Task,PICT,Nemo,ttr,-0.0908,-0.062,0.0287,0.0002,0.0573,0.0484,37,58,0.293
Task,PICT,Nemo,pronoun_ratio,0.0162,0.0219,0.0057,-0.0019,0.0134,0.1392,37,58,0.3353
Task,PICT,Nemo,content_ratio,0.0739,0.0592,-0.0148,-0.0274,-0.0021,0.0227,37,58,0.2024
Task,PICT,Nemo,mean_word_len,-0.1918,-0.1513,0.0405,-0.0121,0.0931,0.1282,37,58,0.3353
Task,PICT,Whisper,ttr,-0.0908,-0.0786,0.0122,-0.017,0.0414,0.4039,37,58,0.5885
Task,PICT,Whisper,pronoun_ratio,0.0162,0.0215,0.0053,-0.0017,0.0123,0.1326,37,58,0.3353
Task,PICT,Whisper,content_ratio,0.0739,0.0645,-0.0094,-0.0239,0.005,0.1956,37,58,0.3682
Task,PICT,Whisper,mean_word_len,-0.1918,-0.1582,0.0335,-0.0314,0.0985,0.304,37,58,0.4864
Age,<75,AWS,ttr,-0.0685,-0.0471,0.0214,0.01,0.0327,0.0003,147,103,0.0032
Age,<75,AWS,pronoun_ratio,0.0325,0.0395,0.007,0.0021,0.0119,0.0053,147,103,0.0211
Age,<75,AWS,content_ratio,0.0728,0.0639,-0.0089,-0.0153,-0.0026,0.0062,147,103,0.0211
Age,<75,AWS,mean_word_len,-0.2345,-0.2524,-0.0179,-0.0535,0.0177,0.323,147,103,0.4307
Age,<75,AssemblyAI,ttr,-0.0685,-0.0437,0.0249,0.0111,0.0386,0.0005,147,103,0.004
Age,<75,AssemblyAI,pronoun_ratio,0.0325,0.0329,0.0004,-0.0041,0.0049,0.8613,147,103,0.9187
Age,<75,AssemblyAI,content_ratio,0.0728,0.0667,-0.0061,-0.0132,0.001,0.0942,147,103,0.1587
Age,<75,AssemblyAI,mean_word_len,-0.2345,-0.1797,0.0548,0.013,0.0966,0.0104,147,103,0.0238
Age,<75,CrisperWhisper,ttr,-0.0685,-0.0846,-0.0161,-0.031,-0.0012,0.034,147,103,0.068
Age,<75,CrisperWhisper,pronoun_ratio,0.0325,0.0335,0.001,-0.0041,0.0061,0.7015,147,103,0.8017
Age,<75,CrisperWhisper,content_ratio,0.0728,0.0675,-0.0052,-0.0112,0.0008,0.0892,147,103,0.1586
Age,<75,CrisperWhisper,mean_word_len,-0.2345,-0.275,-0.0406,-0.0815,0.0004,0.052,147,103,0.0979
Age,<75,Google,ttr,-0.0685,-0.0556,0.0129,-0.0025,0.0282,0.1003,147,103,0.1605
Age,<75,Google,pronoun_ratio,0.0325,0.0383,0.0059,-0.0024,0.0141,0.163,147,103,0.2439
Age,<75,Google,content_ratio,0.0728,0.0609,-0.0119,-0.0208,-0.0029,0.0095,147,103,0.0234
Age,<75,Google,mean_word_len,-0.2345,-0.2504,-0.0159,-0.0645,0.0327,0.5193,147,103,0.6391
Age,<75,Meta,ttr,-0.0685,0.0041,0.0726,0.051,0.0943,0.0,147,103,0.0
Age,<75,Meta,pronoun_ratio,0.0325,0.0224,-0.0101,-0.0163,-0.0039,0.0015,147,103,0.008
Age,<75,Meta,content_ratio,0.0728,0.0658,-0.007,-0.0169,0.003,0.1677,147,103,0.2439
Age,<75,Meta,mean_word_len,-0.2345,-0.2226,0.0119,-0.0488,0.0725,0.7003,147,103,0.8017
Age,<75,Microsoft,ttr,-0.0685,-0.0689,-0.0004,-0.028,0.0273,0.9782,147,103,0.9819
Age,<75,Microsoft,pronoun_ratio,0.0325,0.0309,-0.0015,-0.0102,0.0071,0.7269,147,103,0.8021
Age,<75,Microsoft,content_ratio,0.0728,0.0501,-0.0227,-0.039,-0.0064,0.0066,147,103,0.0211
Age,<75,Microsoft,mean_word_len,-0.2345,-0.2337,0.0008,-0.0656,0.0671,0.9819,147,103,0.9819
Age,<75,Nemo,ttr,-0.0685,-0.0493,0.0192,0.0058,0.0326,0.0053,147,103,0.0211
Age,<75,Nemo,pronoun_ratio,0.0325,0.0344,0.0019,-0.0029,0.0067,0.4416,147,103,0.5652
Age,<75,Nemo,content_ratio,0.0728,0.0656,-0.0071,-0.0137,-0.0006,0.0337,147,103,0.068
Age,<75,Nemo,mean_word_len,-0.2345,-0.215,0.0194,-0.0156,0.0544,0.2755,147,103,0.3833
Age,<75,Whisper,ttr,-0.0685,-0.0461,0.0224,0.0094,0.0355,0.0009,147,103,0.0058
Age,<75,Whisper,pronoun_ratio,0.0325,0.0405,0.008,0.0022,0.0139,0.0075,147,103,0.0216
Age,<75,Whisper,content_ratio,0.0728,0.0618,-0.0109,-0.019,-0.0029,0.0081,147,103,0.0216
Age,<75,Whisper,mean_word_len,-0.2345,-0.1503,0.0841,0.0398,0.1285,0.0002,147,103,0.0032
Age,>=75,AWS,ttr,-0.1079,-0.1254,-0.0175,-0.031,-0.004,0.0127,27,10,0.0677
Age,>=75,AWS,pronoun_ratio,0.0205,0.0185,-0.002,-0.0262,0.0221,0.8662,27,10,0.8941
Age,>=75,AWS,content_ratio,0.0767,0.0622,-0.0145,-0.029,0.0,0.0506,27,10,0.1472
Age,>=75,AWS,mean_word_len,-0.3415,-0.3486,-0.0071,-0.0824,0.0683,0.8449,27,10,0.8941
Age,>=75,AssemblyAI,ttr,-0.1079,-0.1066,0.0013,-0.0143,0.0169,0.8618,27,10,0.8941
Age,>=75,AssemblyAI,pronoun_ratio,0.0205,0.0103,-0.0102,-0.0265,0.006,0.2094,27,10,0.4786
Age,>=75,AssemblyAI,content_ratio,0.0767,0.0641,-0.0127,-0.0237,-0.0016,0.0263,27,10,0.1027
Age,>=75,AssemblyAI,mean_word_len,-0.3415,-0.2901,0.0514,-0.0389,0.1417,0.2424,27,10,0.5171
Age,>=75,CrisperWhisper,ttr,-0.1079,-0.1323,-0.0243,-0.0749,0.0262,0.3322,27,10,0.5998
Age,>=75,CrisperWhisper,pronoun_ratio,0.0205,0.0139,-0.0066,-0.0239,0.0106,0.4392,27,10,0.7027
Age,>=75,CrisperWhisper,content_ratio,0.0767,0.0678,-0.0089,-0.0319,0.0142,0.4304,27,10,0.7027
Age,>=75,CrisperWhisper,mean_word_len,-0.3415,-0.3899,-0.0484,-0.1496,0.0528,0.3374,27,10,0.5998
Age,>=75,Google,ttr,-0.1079,-0.1397,-0.0318,-0.0569,-0.0066,0.0148,27,10,0.0677
Age,>=75,Google,pronoun_ratio,0.0205,-0.0072,-0.0278,-0.0486,-0.0069,0.0109,27,10,0.0677
Age,>=75,Google,content_ratio,0.0767,0.068,-0.0087,-0.0266,0.0092,0.3274,27,10,0.5998
Age,>=75,Google,mean_word_len,-0.3415,-0.3191,0.0224,-0.1236,0.1684,0.7445,27,10,0.8941
Age,>=75,Meta,ttr,-0.1079,-0.0543,0.0537,0.0239,0.0835,0.0012,27,10,0.0128
Age,>=75,Meta,pronoun_ratio,0.0205,0.0206,0.0001,-0.0188,0.019,0.9893,27,10,0.9893
Age,>=75,Meta,content_ratio,0.0767,0.0743,-0.0024,-0.0177,0.0129,0.7535,27,10,0.8941
